job_id,title,company,company_link,location,skills,date,date_text,link,insights,description
4149956952,Remote Math Teacher (Pre-K to K),Think Academy U.S,https://www.linkedin.com/company/thinkacademyus/life,"Richmond, VA",,,2 months ago,https://www.linkedin.com/jobs/view/4149956952/?eBP=BUDGET_EXHAUSTED_JOB&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=uRmilwKq1inKwc3DJENxEw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Position: Remote Math Teacher (Pre-K to K)

Job type: Part-Time (30-40 hours per week)

Location: Remote

Intended Start Date: As Needed

Who We Are

Think Academy US (www.TheThinkAcademy.com), a 100% owned subsidiary of TAL Education Group(NYSE: TAL), is recently established education technology (Ed-Tech) company to provide K-12 extra-curricular learning services through science and technology. At Think Academy, we provide full cycle service to foster local children’s ability to think critically, to strengthen their logic skills, and to help them fulfill their goals through innovative teaching techniques. We believe Love and Technology can make education better. Each week, more than 6 million students are enrolled in TAL's online and offline education platform.

Whom We Are Looking For

Think Academy U.S. is looking for Remote PerK-K Math Teacher to work with our lower elementary school students from Preschool to Kindergarten. Teachers are expected to understand math concepts, prepare classes based on Think Academy's curriculum, deliver engaging and age-appropriate math lessons, explaining concepts, demonstrating problem-solving techniques, and using various teaching methods to meet the diverse needs of students

What You Will Do


Teach lower elementary-level mathematics virtually through the Think Academy Teaching Platform.
Actively engage and manage an online classroom of up to 12 students.
Prepare and deliver lessons using Think Academy's curriculum and teaching guidance.
Grade homework and provide other essential teaching-related services.
Communicate effectively with students and parents, offering timely and personalized feedback.
Typically work 30+ hours per week (depending on number of classes you are assigned), primarily during weekends or weekday afternoons.


How You Can Be Qualified


Bachelor’s degree or above; All majors are welcome; Education, or STEM-related majors are preferred
You are still eligible to apply if you are still pursuing or in progress of obtaining a Bachelor's degree
Prior math teaching experiences is not required, but a plus
Elementary math competition learning or teaching experience is a plus
Can commit to training and at least two semesters of teaching starting from 2025 Summer Semester (Fall: Aug – Dec; Spring: Jan - May; Summer: June - Aug)
Available and willing to work during weekday evenings and weekends
Super passionate about teaching and education industry, and highly responsible and love to get along with kids
Excellent communication and interpersonal skills

Pay Structure


Teaching Fee: $33/hour; Teachers will be assigned 5-7 classes per week
Non-Teaching Fee: $16-20/hour; Includes class preparation and after-class services such as grading homework, replying to parent messages, periodically giving feedback, etc.
Bonus: 15% Target Performance Bonus
Please ask your recruiter for more information about pay rate!


Think Academy is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability."
4208136615,Online Math Teacher,JadeClass Education,https://www.linkedin.com/company/jadeclass/life,"Richmond, VA",,,1 day ago,https://www.linkedin.com/jobs/view/4208136615/?eBP=BUDGET_EXHAUSTED_JOB&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=HOodbgJ3EuYnAbUM1mksLA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Advertisement

Are you looking for an awesome new online teaching gig? JadeClass Education Singapore is hiring energetic, confident, and adaptable teachers for our on-line math program. In turn, we will provide you with the students, online-teaching tools, structure, and resources that you will need to teach with confidence.

We are looking for top quality teachers who can commit to a fixed schedule of at least two classes a week, starting in July. We pay $75 for each 90-minute lesson (covering preparation and teaching time). The first time you teach each lesson, we might ask you to record a preview video (without students), for which we'll pay an extra $25.

If you are as excited about online education as we are, then we would love to hear from you!

School Description

JadeClass Education Singapore provides enrichment education to bright students who already have a good command of the English language and plan on continuing their education abroad. We are a group of talented teachers who develop and deliver in-person and online classes in English and STEM. Our students range from 6-16 years old and are carefully screened for English level, behavior, and motivation. We focus on teaching concrete skills that help our students succeed in their learning endeavors.

Job Responsibilities


 Deliver engaging, high-energy online math classes for up to eight students
 Review materials and record lesson-prep as required to ensure quality
 Complete a series of classes without absences or rescheduling



Schedule

Our lessons are typically scheduled during the following times, based on student and teacher availability:


 Fall/Spring term Fri 18:00-21:00 (UTC +8)


Sat 08:30-20:30 (UTC+8)

Sun 08:30-20:30 (UTC+8)


 Summer term: Mon/Thurs 08:30-20:30 (UTC+8)


Wed/Sat 08:30-20:30 (UTC+8)

Course Description

Our small-group, online math courses place a single teacher with 6-8 students. Classes meet online each week, on the ClassIn platform (classin.com) for 90-minutes. Lessons are based around coursework/PPTs developed by our in-house development team. Training and support will be provided.

Technology Requirements


Fast and stable internet connection (:20mbps up and down)
Modern, reliable computer (:10,000+ on www.cpubenchmark.net/cpu_list.php) 



Application Process

If you are interested in applying, please send the following to us at teaching@jadeclass.com:


 Your resume
 A YouTube/Vimeo link to your introduction video telling us about your teaching background (we will not consider your application without this)
 A screenshot of your device specifications
 A link to your speedtest.net results
 Where you found this position
 The name of the position to which you wish to apply



Requirements


Applicant Requirements


 Experience teaching elementary, middle-school, or high-school math, either online or in person
 Can explain concepts in a clear, simple, and logical fashion
 Can integrate your own personal teaching style with our established standards
 Reliable, organized, and able to prepare for and attend each scheduled lesson
 Positive attitude, engaging personality, talkative
 Neat and professional appearance
 Fluent in English with clear pronunciation



Benefits


Compensation


 66 USD per hour for each new lesson: $100 per 90-minute lesson
 Payment is based on the actual teaching of a lesson. This does not include time spent reviewing materials and/or recording a lesson previews (without students) to show that you are fully prepared to teach each class
 50 USD per hour for each repeated lesson (i.e. lessons you have previously taught): 75 USD per 90-minute lesson


Remuneration is through Wise (wise.com), monthly, between the 10th and the 12th of the month."
4187795976,Part-Time Online Facilitator - Math and Science,Cornerstone University,https://www.linkedin.com/company/cornerstone-university/life,"Richmond, VA",,,3 weeks ago,https://www.linkedin.com/jobs/view/4187795976/?eBP=BUDGET_EXHAUSTED_JOB&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=Ey0gqP9cBZor2ggjSDHAdA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Cornerstone University seeks experienced online facilitators to oversee student progress through engaging online modules for its new business degree program. The courses have been developed by credentialed faculty using state of the art approaches, and student interest is high. Your role is to shepherd a group of self-paced, highly motivated students through existing curriculum by answering student questions, reviewing reflection posts and providing feedback using your academic expertise and infused with a sophisticated and faithful Christian worldview. Because students are not progressing through their courses in a cohort, you will need to check daily on their progress, respond to their requests and reflections within 48 hours and ultimately submit their course grades when they have completed them. You will enjoy fast-paced online work as students flow in and out of the course throughout your term.

Which courses are available for this incredible opportunity? 


Contemporary Issues in Science and Technology
College Mathematics
Intro to Nutrition


Compensation


$2500 for 10 to 100 students, plus $10 for each additional student up to 200.
In the rare event of a low enrolled course (less than 10 students), the course compensation will be reduced in a pro-rated manner, but you will receive a minimum of $500 if the course has no participants by the stated deadline.
You have the potential for ongoing contract renewals based on performance.


Qualifications


Masters degree in a field related to the course being facilitated
A minimum of 3 (three) years of teaching experience, including at least one year in an online modality.
Demonstrated expertise in the subject areas noted.
Demonstrated track record of energetic responsiveness to online posts, and a willingness to engage with the class every day for the duration of the term.
Excellent written and verbal communication skills
Candidates will be asked if they are eligible to work and receive payment in the United States


Essential Qualifications


The successful candidate will demonstrate a commitment to excellence in teaching their discipline with a Christian Worldview.
Each candidate must have a personal relationship with Jesus Christ, be active in a local church and espouse a theology that supports the values and mission of Cornerstone University as evidenced by fully affirming the university’s doctrinal statement, “The Cornerstone Confession”.


Review of candidates will begin immediately. You will be contacted if you are selected for an interview.

About Cornerstone University

Cornerstone University is a vibrant interdenominational evangelical university that prepares students for lives of global influence in an academically rigorous, spiritually rich educational community. It is located minutes from downtown Grand Rapids, a dynamic city in Western Michigan that offers a wealth of outdoor and cultural activities. Learn more about Cornerstone at www.cornerstone.edu."
4205830739,Virtual Elementary Math Teacher (Part-Time) with verification,Art of Problem Solving,https://www.linkedin.com/company/art-of-problem-solving/life,"Richmond, VA",,,1 month ago,https://www.linkedin.com/jobs/view/4205830739/?eBP=BUDGET_EXHAUSTED_JOB&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=10aqPQYJ8MJ7Y92FgDQjgw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Join Our AoPS Academy Virtual Campus as an Elementary Math Instructor! 

Art of Problem Solving is looking for an elementary Math Instructor to join their Virtual Campus team.

This Might Be a Good Fit If You


Excel at making complex mathematical concepts accessible and engaging for early elementary students
Foster student-led discussions, encouraging critical thinking and problem solving, empowering students to do the heavy lifting
Demonstrate strong, virtual classroom management skills, maintaining elementary students’ engagement through software such as Zoom


What You’ll Do


Teach enthusiastic elementary school students in our online virtual classrooms
Use our problem solving based curriculum to teach participation-oriented classes that focus on deep understanding, not on rote memorization
Work in small classes (average size 12) with top performing students who are passionate about learning and motivated to succeed
Facilitate a virtual learning environment that challenges and stimulates advanced students, while maintaining their attention and participation 


Skills And Experience Requirements


A bachelor's degree in a STEM field is required. A master's degree or higher is preferred.
Must have demonstrated experience teaching or tutoring students at the elementary to middle school level.
Strongly preferred: Experience working with advanced or gifted students in mathematics, especially at the elementary level.
Proficiency with virtual teaching platforms such as Zoom.


Not Required


A formal teaching credential is not required for this position. 


Schedule


The AoPS Academy Virtual Campus is an after-school and weekend enrichment option for students. 
Our Year-Round courses are offered late afternoon to evening between 4pm ET and 10pm ET Monday through Friday and from 10am ET to 9pm ET on Saturday and Sunday. 


Campus Location:


Remote 


Benefits And Compensation


$30/hour 
Paid Sick Leave
401K retirement plan
Eligible for discretionary bonus after 2 years
Employee discount on classes and Beast Academy Online (BAO) yearly subscriptions


About AoPS

AoPS Academy is a year-round educational enrichment program. Since 1993, AoPS has prepared hundreds of thousands of students for college and career success through engaging curriculum, expert online instruction, and local, in-person academies. AoPS Academy is a program of Art of Problem Solving, a global leader in K–12 advanced education. AoPS Academy brings the AoPS methodology to small live physical and virtual classrooms. We offer a world-class curriculum in math, science, and language arts for students in grades 1-12, creating an environment where exploration meets challenge, right in your local neighborhood. Students learn in small classes led by accomplished instructors and collaborate with a peer group who share their passion for learning.

In order to be considered for this position you must be legally authorized to work in the US. We are unable to offer sponsorship, including STEM-OPT and H-1B.

By clicking submit application you agree that we may contact you regarding your application via email, phone or SMS and to the terms of our data privacy policy."
4187682909,"Mathematics Instructor (Full-time, Requires Relocation to Kuwait)","American International University, Kuwait",https://www.linkedin.com/company/american-international-university-kuwait/life,"Richmond, VA",,,Reposted 1 week ago,https://www.linkedin.com/jobs/view/4187682909/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=A9R5wOa1Ngv12S66neEH8Q%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Mathematics Foundation Program Instructor

Location: Kuwait, Relocation Required

Note: Position open to unaccompanied candidates only




American International University (AIU) is looking for dynamic and engaged full- time faculty member for its Foundation Program. AIU welcomes candidates with a vision of excellence in instruction and a commitment to students’ academic success.




Responsibilities: 

Delivers engaging, well-planned lessons using diverse teaching styles.
Develops course curriculum and high-quality learning resources.
Creates a positive, success-driven learning environment.
Maintains accurate student records and reports assessments per AIU standards.
Manages a fast-paced workload efficiently.
Utilizes and updates course management systems.
Demonstrates teamwork, leadership, and a high-energy approach.
Supports department assessments and contributes to academic planning.
Meets deadlines and fulfills all teaching-related duties.
Participates in department meetings, office hours, and other assigned tasks.
Strong English communication skills, both verbal and written.




Qualifications:

Master’s degree in Mathematics, or closely related field.
Experience in developing course material as per accreditation and international standards.
Ability to integrate and use technology to enhance teaching and facilitate communication.
Excellent verbal and written communication skills.
Applicants must meet the credential and guidelines given by Private Universities Council (PUC).




Learn more about American International University at www.aiu.edu.kw"
4181231622,Engineering Adjunct Instructors,Virginia's Community College System,https://www.linkedin.com/company/vccs.edu/life,"Richmond, VA",,,1 month ago,https://www.linkedin.com/jobs/view/4181231622/?eBP=BUDGET_EXHAUSTED_JOB&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=2z%2F9Fo1Mq9V52oQcRRWlaw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Working Title Engineering Adjunct Instructors Role Title Engineering Adjunct Instructors Role Code FLSA Exempt Pay Band UG Position Number 283A0000 Agency J. Sargeant Reynolds Community College Division J. Sargeant Reynolds Community College (Div) Work Location Henrico - 087 Hiring Range Salary commensurate with the education and experience of the applicant. Emergency/Essential Personnel No EEO Category I-Faculty Full Time or Part Time Part Time Does this position have telework options? -Telework options are subject to change based on business needs- Does this position have a bilingual or multilingual skill requirement or preference? Work Schedule

Varies depending on class schedules and school needs.

Sensitive Position No Job Description

Reynolds is one of the largest community colleges in Virginia and serves Virginia’s capital city and five nearby counties. Annually, our four campus sites serve approximately 13,000 credit students and provide training for 7,400 students through the Community College Workforce Alliance. Reynolds is committed to hiring and retaining a racially diverse, culturally competent staff at all levels of the organization who reflect the demographics of our students. We also believe in providing an ongoing investment in our faculty and staff to deepen their skills and competencies to serve the full range of our student population.

Part-time adjunct teaching faculty-ranked appointment. Candidates will be considered for both Reynolds onsite courses and dual enrollment program. 

For full consideration, the cover letter, resume or curriculum vitae, and unofficial transcripts must be received with the online application submission.

Special Assignments

May be required to perform other duties as assigned. May be required to assist the agency or state government generally in the event of an emergency declaration by the Governor.

KSA's/Required Qualifications

Master’s degree in Engineering; or Master’s with eighteen (18) graduate semester hours in Engineering.

Additional Considerations

Knowledge of instructional technology applications, such as the Canvas learning management system. Related occupational experience or teaching experience in one or more college level courses including occupational-technical, community college or university-college transfer. Demonstrated skill in course development. Demonstrated ability to communicate and work effectively with multi-cultural populations that support diversity, cultural understanding and inclusion. Online course instruction experience and/or training.

Operation of a State Vehicle No Supervises Employees No Required Travel

Travel among Reynolds campuses and partner sites may be needed.

Posting Number ADJ_1660P Recruitment Type General Public - G Number of Vacancies multiple Position End Date (if temporary) Job Open Date 03/12/2025 Job Close Date 12/31/2025 Open Until Filled Yes Agency Website www.reynolds.edu Contact Name Reynolds HR Email HR@reynolds.edu Phone Number (804) 523-5249 Special Instructions to Applicants

At Reynolds Community College, we are committed to the success of all students. We believe all students will reach their full potential when we create conditions that allow it and it is our responsibility to do so. We are mindful that equitable outcomes are only achieved through intentional action that eliminates barriers to achievement. Successful candidates for positions, regardless of job duties, must embrace the responsibility to serve all students so that they may succeed and prosper.

Additional Information

This pool will be utilized on an as-needed basis. Your application will remain active until December 31, 2025; or until the position is no longer needed. Only those selected for an interview will be contacted.

Reynolds does not accept employment applications by mail, e-mail or fax.

Reasonable accommodations are provided to applicants as requested.

Reynolds Community College does not discriminate on the basis of age (except when age is a bona fide occupational qualification); color; disability; gender identity or expression; genetic information; military service; national origin; political affiliation; pregnancy, childbirth, or related medical conditions, including lactation; race (or traits historically associated with race including hair texture, hair type, and protective hairstyles such as braids, locks, and twists); religion; sex; sexual orientation; veterans status, or any other non-merit based factor in its employment opportunities, programs, services, and activities.

Background Check Statement Disclaimer

The selected candidate’s offer is contingent upon the successful completion of an extensive criminal background investigation, which may include: fingerprint checks, local agency checks, employment verification, verification of education, credit checks (relevant to employment), and other checks requested by the VCCS such as I-9 and E-Verify requirements. Additionally, selected candidates may be required to complete the Commonwealth’s Statement of Economic Interest. http://ethics.dls.virginia.gov/

EEO Statement

The Virginia Community College System (VCCS) provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, political affiliation, veteran status, sexual orientation, gender identity or other non-merit factors.

ADA Statement

The Virginia Community College System (VCCS) is an Equal Employment Opportunity employer and complies with the Americans with Disabilities Acts (ADA and ADAAA), to provide, reasonable accommodation to applicants in need of access to the application, interviewing, and selection processes when requested.

E-Verify Statement

VCCS uses E-Verify to check employee eligibility to work in the United States. You will be required to complete an I-9 form and provide documentation of your identity for employment purposes.

Quicklink for Posting https://jobs.vccs.edu/postings/71750"
4110720537,Middle School Computer Science Teacher,ABC Education Group,https://www.linkedin.com/company/abc-edu-group/life,"Richmond, VA",,,3 months ago,https://www.linkedin.com/jobs/view/4110720537/?eBP=BUDGET_EXHAUSTED_JOB&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=PNGKbTFlb7MUp3i37lfqaA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Middle School Computer Science Teacher:

We are a thriving international education firm specializing in helping students from 30+ countries successfully transition to US schools. We are seeking a part-time Middle School Computer Science Teacher to join our team.

This is a remote role that can be done from anywhere in the world. We are looking for teachers who are open-minded and have proven experience teaching in digital or multicultural environments.

If you're passionate about supporting students in reaching their potential and are interested in joining a growing education organization, we encourage you to apply.

Class Details:


 Time: Sundays at 7:00 PM EST
 Start Date: January 5th
 Duration: Runs through August


This is a part-time, hourly position that is fully remote with no travel required. Compensation is competitive and based on certifications and experience. Teachers will receive a curriculum. Opportunities to take on additional classes will likely be available in the near future."
4184554938,Work From Home & Teach ESL with LingoAce with verification,LingoAce,https://www.linkedin.com/company/lingoace/life,"Richmond, VA",,,Reposted 3 days ago,https://www.linkedin.com/jobs/view/4184554938/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=%2FbsYgVgU2nnuLWitT3uPMw%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

About Us:

LingoAce is a top-tier global online learning platform providing engaging and fun educational experiences for children aged 4-15 in subjects such as Chinese, English, and Math. We have proudly served students from over 100 countries, delivering more than 11.1 million lessons. If you are passionate about teaching and making a global impact, this is the perfect opportunity for you! 




Why Teach with LingoAce?

- Class Type: One-on-one sessions

- Duration: 25 or 55 minutes per class

- Curriculum: All materials provided by LingoAce

- Platform: LingoAce Classroom

- Flexible Location: Work remotely

- Set Your Own Schedule: No minimum or maximum hours; work at your convenience

- Compensation: Earn $14-$20 per hour. Your earnings are based on the number of classes you teach. The more classes you teach, the more you can earn!

- Referral Bonus: Existing teachers will receive $100 per successful teacher referred to the LingoAce platform

-Peak Time Reference (all times are in UTC+8, Beijing time):

Monday to Sunday, 7:00 pm – 9:00 pm

Saturday & Sunday, 10:00 am – 11:00 am




Qualifications:

- Fluent in English with legal authorization to work in the US, Canada, the UK, or Australia (ID must be provided!) (required)

- North American or UK accent (required)

- Teaching certification (TESOL, TEFL, CELTA, or equivalent) (preferred)

- Bachelor’s degree (preferred)

- Prior teaching or tutoring experience in English (preferred)




*Note:* We are currently not partnering with teachers from California, New York, Massachusetts, New Jersey, or Illinois as of April 2022.




Application Process:

1. Complete the online application: https://lingoace.paperform.co

2. Submit a 3-minute video demonstrating your teaching abilities

3. Finalize your profile and sign the service agreement




Email: teacher-recruiting@pplingo.com




This is your chance to join a dynamic team making a difference in children’s lives worldwide! If you are qualified and passionate about teaching, apply today to begin a rewarding teaching journey with LingoAce!"
4195261270,Spanish Teacher with verification,LearningMate,https://www.linkedin.com/company/learningmate/life,"Richmond, VA",,2025-04-01,2 weeks ago,https://www.linkedin.com/jobs/view/4195261270/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=6JrZGznmr90QhkwPPYdaaA%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

About the Company - LearningMate is a Straive group company that focuses on the needs of next-generation learners. For twenty years, the company has built on a strong foundation of learning design with progressive technology, digital media, and engineering solutions to connect today’s learners, educators, administrators, policymakers, and content creators with the information, tools, and solutions they need to be successful. With consulting offices present in the United States, the United Kingdom, Canada, and India, LearningMate serves a global clientele of education publishers, traditional and non-traditional EdTech companies, K-20 schools, universities and career colleges, government agencies, non-profits, corporate learning departments, and education consortia. Learn more at www.learningmate.com.




 Responsibilities:

● Perform edits course/lessons in alignment with writing and style guidelines as specified by the

client. 

● Perform edits on the client platform. 

● Apply subject-matter expertise to further support the learner population and increase

effectiveness of the lesson. Ensure that the following key design elements are present:




Alignment to objectives
Appropriate content flow for the audience
Appropriate instructional strategies for audience
Appropriate and varied use of multimedia to support instruction
Appropriate and varied use of edio components to support instruction
Verify all content is factual, up-to-date, and accurate. 
Identify language, grammar, and syntax related issues. 
Check that lesson content maps with any required third party resource (linked

resources, page references, workbooks, etc.)




● Consult with the project team on issues that occur during course development. 

● Review the features added to the lessons. (for example, Prior Knowledge Check, Assessment, and Retake Specific Feedback)

● Review/edit content in the edio authoring interface. 




Critical Tasks:

● Interact with all project stakeholders and communicate with senior project leadership for any

clarification. 

● Maintain confidentiality of content and strictly adhere to the NDA. 




Terms and Conditions:

● Participates in meetings with LearningMate to share progress, collaborate on design elements, attend retrospective meetings, etc., as needed. 

● Responds to emails or chat communications with LearningMate within 1-2 business days of the

lesson being assigned, failing which the lesson will be reassigned. This ensures that delivery

timelines for the lessons are met. 

● Manages the applicable fields in the course Smartsheet to track progress and lesson status.

● Communicates effectively with people at all levels within the organization and contributes to

the development of process solutions. 

● Performs other duties as assigned or apparent. 

● Informs the Project Manager of the available hours for each week to take up the assignments

before the start of the week. 

● Updates the leave tracker and informs the Project Manager in advance if they will be on planned

leave. 




Adherence to Checklist:

● As part of the Content Editing and LDS review process, the content editor is required to adhere

to the provided checklist for each course. Compliance with the checklist must be confirmed in

Smartsheet before submitting any completed lesson. The contractor is responsible for reviewing

and ensuring full alignment with the checklist guidelines before marking the lesson as complete

in Smartsheet. This checklist will apply to all review rounds, and adherence is required at each

stage to proceed to the next phase of development. 

● We at LearningMate highly value your attention to detail and commitment to following this

structured process. Consistent adherence to the checklist and process, along with a focus on

lesson quality, is crucial for the continuity of the project. For any further clarification, please

contact your Project Manager. 




Qualifications:

● Bachelor’s degree in Spanish or Hispanic Studies with a secondary teaching certificate. 

● Master’s degree in education or instructional design. 

● Experience in copywriting, graphic design, programming, or a related field may be advantageous. ● Strong working knowledge of digital technology and drag-and-drop interface to author online

courses specifically for course design content management. 

● Good working knowledge of Agile project management methodology. 

● Excellent written and verbal communication skills. 

● Strong attention to detail, multitasking, and analytical skills. 

● Ability to work independently and as part of a team, asynchronously and across multiple time

zones

● Familiarity with collaborative online workspaces




LearningMate is an equal opportunity employer. We commit to celebrate diversity, equity and inclusion in the workplace"
4190359569,24-25 Grade 3-8 Math Nationwide Certified Teacher - Virtual with verification,Elevate K-12,https://www.linkedin.com/company/elevatek12/life,"Richmond, VA",,2025-04-16,Reposted 1 day ago,https://www.linkedin.com/jobs/view/4190359569/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=0W7lHAbIyhz%2BXXV%2FFEHQHw%3D%3D&trackingId=YaZTpHybAAOHQsMGvzGQ1A%3D%3D&trk=flagship3_search_srp_jobs,[],"About the job

Want to teach part-time and remotely? Join the Elevate K-12 Teacher network! We are hiring U.S. Certified Grade 3 - 8 Math teachers for the 2024-2025 school year.

We offer:  


1099 contract position – no benefits provided, or taxes withheld 
Elevate teachers are paid an hourly rate for all teaching time PLUS guaranteed additional pay for administrative tasks outside of the classroom. We add these two together to create an effective pay rate per classroom teaching hour. The final effective rate is dependent on a variety of factors, including state, subject, grade level, curriculum, and more. Our Math teachers are paid the following:
Grades 3 - 8 earn $28.80 - $35 per teaching hour 
Part-time hours (generally 10-20 teaching hours/week for teachers allocated to classes)
Choose your own schedule – new classes can start anytime. 
Opportunities to supplement your schedule with substitute teaching 
Fully remote – teach from home!


Who We Are...

Elevate K-12 is an EdTech company, and we are on a mission to ensure every student receives a high-quality education, regardless of zip code. We are changing the way classrooms work by creating a brand-new category of LIVE, virtual classroom instruction that gives students access to exceptional, certified, live teachers. Using our proprietary technology, our teachers are livestreamed from across the country into thousands of classrooms, providing instruction that would otherwise be unavailable in many districts across the US. Our goal is to enable high-quality, live teaching for every learner.

About Elevate K-12 LIVE Teaching...

It is just like a regular class, except it is LIVE. We livestream U.S. certified teachers who are teaching remotely into public school classrooms across the country (the students are not remote or homeschooled). When students head into a live classroom, they will feel like it is a regular school day – teachers asking questions, students raising their hands, all made possible by our technology and teachers. Elevate LIVE teaching was built to act, look, feel, and sound like every other classroom.

Every classroom has a Classroom Coach – the adult in the room to help with classroom management, keeping kids on task, and partnering together with the teacher. Our technology platform was built for K-12 students to facilitate effective, engaging instruction. We also have a 24/7 support network for teachers and schools if issues arise.

Benefits To Teaching With Elevate...


Our teaching network allows teachers to teach on their own terms! This means part-time hours on schedules you create and the ability to work from home (or any other professional setting). We take away many of the excess burdens that teachers typically shoulder (no more lunch duty) and provide teachers with an engaging curriculum (through Elevate or our district partners), a supportive team, and a tech platform that empowers teachers to focus on teaching. 
Fully remote (private and professional setting required) 
Part-time hours during the regular school day (choose your own schedule) 
Reduced administrative duties (no staff meetings or lunch duties) 
Individualized instructional coaching to hone teaching skills 
Professional development opportunities 
Networking and fun with your fellow teachers! 
Reach deserving students across the country, and provide them with opportunities to learn 


Our expectations of Elevate teachers...


Adaptable in taking classes that start throughout the semester – most teachers teach between 10-20 hours per week, building up to that schedule throughout the year 
Commitment and consistency in attendance - Elevate teachers are the teacher of record for their students 
Maintain an elevated level of professionalism in the classroom environment with students, the Classroom Coach, fellow Elevate K-12 professionals, and school employees 
Flexible, can think critically, and can adapt to change quickly to ensure optimal student outcomes 
Ability to meet deadlines set by Elevate and the school calendar 
Tech-savvy and comfortable operating in a remote setting 
Can maintain an elevated level of online organizational and professional skills 
Consistently reliable internet connection and an appropriate, professional environment for teaching 


Mandatory Requirements...


Most importantly... a passion for remarkable teaching! 
An active, verifiable Math teaching certification in the United States
Experience teaching students in grades 3 - 8
Must currently reside in the United States
A bachelor's degree from an accredited university or college 
A daily available time block of at least three consecutive hours, Monday through Friday, 8am - 4pm EST. 
Ability to work a part-time schedule of 10-20 hours per week during normal school hours 
A laptop or desktop computer with a reliable high-speed internet connection 


At Elevate, we treat teachers like the educated professionals they are. We empower our network of teachers to choose which classes they want to teach, when (and how much) they want to work, and where they want to log in – while being empowered to teach LIVE in classrooms across the country. Become an Elevate teacher, and finally take control of your work/life harmony!

Elevate K-12 is a creative, challenging, and adventurous network where individuals and teams are driven by growth, collaboration, and the goal to constantly focus on our students' needs. But through all of this, we always remember why we’re here: to teach!

Thank you for your interest in Elevate K-12. We are excited to have you join us on our journey to bring equity and opportunity to our students, regardless of zip code!

Elevate K-12 is an equal opportunity employer."
